part_number,description,unit,category,related_equipment,par_level
83000372,RLY PLUG-IN DPDT 24V 10A,Each,Equipment,WAREWASHING EQUIPMENT,4
83000006,RLY SPDT 24V AC/DC 6A DIN,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
92301017,RNS ADDT EMPTY SNSR ALM KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
96522176,ROD CURT EC MACH,Each,Equipment,WAREWASHING EQUIPMENT,7
53001858,S-24 WSH/TK CONN STD,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92591158,SCLS CONT PRGM PKD RFB,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
96035472,SCR HHCS 1/4-20X1-3/4 SST,Each,Equipment,WAREWASHING EQUIPMENT,9
88020458,SCR HHCS 1/4-20X3/4 304SST,Each,Equipment,WAREWASHING EQUIPMENT,6
88021076,SCR HHCS 3/8-16X1-3/4 SST,Each,Equipment,WAREWASHING EQUIPMENT,4
88009097,SCR SHCS 3/8-16X2 316SST,Each,Equipment,WAREWASHING EQUIPMENT,7
87200013,SEAL ORNG 13/16X1 SILCNE,Each,Equipment,EQUIPMENT AND SPARE PARTS,18
96022116,SEAL ORNG UPR WASH ARM ES44,Each,Equipment,EQUIPMENT AND SPARE PARTS,18
96582026,SEAL SFT OMEGA HT PMP,Each,Equipment,WAREWASHING EQUIPMENT,4
83999078,SLND 115V 50/60HZ 7LP PULL,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
85283489,SLND VLV RPR KIT 1/2 PARKER,Each,Equipment,EQUIPMENT AND SPARE PARTS,19
85283406,SLND VLV RPR KIT 3/4 PARKER,Each,Equipment,EQUIPMENT AND SPARE PARTS,18
92231161,SMTPWRFL/ULT PRESK DISP PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92232129,SNSR EVOL W/0.2M CA,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
53002865,SNSR S2000 W/12FT CA,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92122316,SNSR S2000 W/24FT CA,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
96583489,SPR DR EXT 8-1/2 JCKSN,Each,Equipment,WAREWASHING EQUIPMENT,9
96021035,SPR DRIVE ES44,Each,Equipment,WAREWASHING EQUIPMENT,7
96042031,SPRAY NOZZLE AND RCPT OMEGA-5,Each,Equipment,WAREWASHING EQUIPMENT,2
92652348,SPYR FMR 7-5/8 24OZ 12PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92782078,SPYR TRIG 32OZ 9-3/4,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
92652352,SPYR TRIG 7-5/8 24OZ 12PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,8
92633601,SQUIRT BOTTLE FLIP TOP CAP,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92171388,STACKING PERSTLC PMP KIT PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
96563812,STERO PUMP SEAL P57-1697,Each,Equipment,WAREWASHING EQUIPMENT,10
53002284,STP TST SNTZR SMTPWR SS,Each,Equipment,FOOD SAFETY SOLUTIONS,5
93022003,STRN LINE 1/4FNPT PP CLR,Each,Equipment,WAREWASHING EQUIPMENT,5
96585682,SW FLT ES4400 JCKSN,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
83053082,SW LIQ LVL FLT SPST 240V,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
96027102,SW PUSH BTN ON/OFF SST,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
96027103,SW PUSH BTN PRIME/CYCLE SST,Each,Equipment,EQUIPMENT AND SPARE PARTS,7
